"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm3488",82.39295257,4.875197383,0.49354783,9.877862054,5.19e-23,3.67e-20
"Dpyd",321.3737976,-2.040646477,0.208795582,-9.773417872,1.46e-22,9.96e-20
"D830030K20Rik",53.07895304,5.413415786,0.557226694,9.714925437,2.6e-22,1.71e-19
"Lgals3",2266.815319,2.674515887,0.27882307,9.592161388,8.63e-22,5.46e-19
"Col25a1",251.7726189,3.537908912,0.3743844,9.44993678,3.39e-21,2.08e-18
"Gm10409",45.66004263,5.658525133,0.60168925,9.404397919,5.23e-21,3.1e-18
"Anxa1",9105.212473,2.487206738,0.265761228,9.358802103,8.06e-21,4.63e-18
"Gm3020",43.17862378,5.608075542,0.599977903,9.347136805,9.01e-21,5.01e-18
"Atp2b2",267.9884786,3.881395403,0.41565301,9.338066393,9.81e-21,5.3e-18
"Znf41-ps",79.12802807,-3.109693171,0.337169887,-9.222926745,2.89e-20,1.52e-17
"Serpinb9",1031.96042,1.36719569,0.148404565,9.212625573,3.18e-20,1.62e-17
"Gm8281",42.19463296,4.951504717,0.54606674,9.06758158,1.22e-19,6.04e-17
"Bcl2a1b",149.8010931,2.363512942,0.26299848,8.986793172,2.55e-19,1.23e-16
"Lcn2",217.4338992,3.716762975,0.414210561,8.973124599,2.88e-19,1.36e-16
"Grp",1344.69954,2.930727757,0.327226336,8.956271051,3.36e-19,1.51e-16
"Ccl22",160.7611408,3.47483842,0.388007043,8.955606562,3.38e-19,1.51e-16
"Serpinb3a",490.1115304,27.02507672,3.026235737,8.930261575,4.25e-19,1.86e-16
"Clec7a",427.6568295,2.508287244,0.281157061,8.921302687,4.61e-19,1.97e-16
"Gm3002",45.07100093,5.766704089,0.650492766,8.865131771,7.64e-19,3.19e-16
"Ptgs1",598.3137742,1.878053565,0.212667,8.830959032,1.04e-18,4.23e-16
"Snx31",241.9926214,-3.115376762,0.355054034,-8.774373645,1.72e-18,6.71e-16
"Cpa4",308.1373542,2.400723518,0.273543211,8.776395919,1.69e-18,6.71e-16
"Ctsd",28989.28293,0.999283983,0.114494526,8.727788277,2.6e-18,9.94e-16
"Cda",91.09814811,2.829785184,0.325220083,8.701139109,3.29e-18,1.23e-15
"Gpr39",35.42609092,4.085302739,0.470069423,8.690849771,3.6e-18,1.32e-15
"Lilr4b",521.2772445,2.177384831,0.251322301,8.663715175,4.57e-18,1.64e-15
"Slc34a2",593.5277088,3.912321904,0.454297452,8.611806848,7.19e-18,2.54e-15
"Cxcl2",30.81905663,4.576091596,0.535448782,8.546273239,1.27e-17,4.4e-15
"Fads2",715.8221936,-1.382126187,0.162129094,-8.524849876,1.53e-17,5.2e-15
"Slc22a21",211.3421743,2.144296348,0.255387205,8.396255986,4.61e-17,1.54e-14
"Efemp1",1734.867483,1.20400344,0.145309297,8.285797696,1.17e-16,3.85e-14
"Chgb",215.0282178,-3.304878975,0.399413783,-8.274323801,1.29e-16,4.16e-14
"Il18r1",1674.839331,1.331223669,0.161206981,8.257853744,1.48e-16,4.7e-14
"Kank4",407.5963398,1.777734525,0.217192265,8.185072913,2.72e-16,8.47e-14
"Scg5",6360.178253,1.915209272,0.235631736,8.127976754,4.37e-16,1.34e-13
"Tmem35a",869.5286785,2.332956335,0.28715972,8.12424644,4.5e-16,1.36e-13
"Fermt1",170.2411164,2.215791538,0.27336489,8.105618613,5.25e-16,1.55e-13
"Gsta3",1584.403231,1.413203184,0.174553093,8.096122257,5.67e-16,1.65e-13
"Parvb",933.8409242,-1.141493998,0.141786655,-8.050785875,8.23e-16,2.36e-13
"Trem1",43.43226538,4.040983977,0.505416832,7.995349032,1.29e-15,3.65e-13
"Them5",264.6630378,6.114568882,0.765494036,7.987742024,1.37e-15,3.82e-13
"Gm10406",31.97589289,4.277169946,0.537838693,7.952514384,1.83e-15,5.01e-13
"2510039O18Rik",1339.53101,0.813674699,0.102596874,7.930794235,2.18e-15,5.88e-13
"Gm49339",246.6273279,2.653503204,0.334850188,7.924448889,2.29e-15,6.1e-13
"Clec4d",50.81923635,4.406874827,0.556291519,7.92188031,2.34e-15,6.14e-13
"Nectin3",272.9649998,2.005776142,0.255307487,7.856315413,3.96e-15,1.02e-12
"Scn9a",58.24391945,-4.543798266,0.579988699,-7.834287594,4.72e-15,1.2e-12
"Cfap52",216.1978659,-1.834122964,0.234676097,-7.815550819,5.47e-15,1.38e-12
"Ccl6",1476.226974,2.410779258,0.308782033,7.80738191,5.84e-15,1.45e-12
"Pdlim1",1499.162573,1.415631352,0.181611626,7.794827792,6.45e-15,1.58e-12
"Sprr1a",470.6203673,7.577551779,0.973490318,7.783900506,7.03e-15,1.7e-12
"Upk3bl",433.5827089,3.224935409,0.414696215,7.776621285,7.45e-15,1.77e-12
"Ccl17",106.0884286,4.686231206,0.602801092,7.774092103,7.6e-15,1.77e-12
"Sphk1",269.6394289,3.244321532,0.41734169,7.773777725,7.62e-15,1.77e-12
"Tcn2",6326.442234,1.226948083,0.158590005,7.736604094,1.02e-14,2.34e-12
"Plek",393.9468705,1.542924845,0.200336734,7.701657168,1.34e-14,3.04e-12
"Mfge8",3379.846896,1.330984793,0.173254322,7.682260255,1.56e-14,3.5e-12
"Sod3",3629.326407,1.829940711,0.238619703,7.668858404,1.74e-14,3.84e-12
"Pcsk2",761.7686499,-3.006531236,0.393405665,-7.642318096,2.13e-14,4.66e-12
"Malt1",1004.913953,1.555374134,0.203678688,7.636410818,2.23e-14,4.83e-12
"Gm43305",1503.557499,2.125623522,0.280115799,7.58837427,3.24e-14,6.92e-12
"Arl4c",609.6281385,1.810926489,0.239043593,7.575716496,3.57e-14,7.54e-12
"Nnat",178.1838741,-2.676267474,0.356265382,-7.512005392,5.82e-14,1.22e-11
"Cxcl3",29.30663307,7.591432669,1.012343869,7.498867632,6.44e-14,1.33e-11
"Ccn4",4203.097378,-1.460322996,0.194861616,-7.494154199,6.67e-14,1.36e-11
"Acpp",895.7557036,2.280294106,0.304326506,7.492919799,6.74e-14,1.36e-11
"Eddm3b",301.3485003,-1.523837683,0.204682518,-7.44488438,9.7e-14,1.94e-11
"Scg3",284.8946741,-2.736347777,0.36821699,-7.431345784,1.07e-13,2.12e-11
"Dhcr24",1637.857121,1.555168666,0.209422514,7.425986038,1.12e-13,2.19e-11
"Sorcs2",423.1004013,-1.261054718,0.170800795,-7.383189973,1.55e-13,2.99e-11
"Ubd",85.52866627,2.935193539,0.397820309,7.378189282,1.6e-13,3.07e-11
"Gm47015",35.03510945,3.450284644,0.468038623,7.371794709,1.68e-13,3.19e-11
"Jag1",1012.200974,1.007610497,0.137326799,7.337318749,2.18e-13,4.06e-11
"Elmod1",126.7310922,2.794470578,0.380889547,7.336695372,2.19e-13,4.06e-11
"Cd68",623.4339949,1.726723119,0.235400167,7.335267194,2.21e-13,4.06e-11
"Gm46620",1938.818043,2.074281432,0.284701723,7.285805685,3.2e-13,5.81e-11
"Trem2",222.0157415,2.15234811,0.295625779,7.280650958,3.32e-13,5.98e-11
"Sprr2g",25.60700633,6.538069897,0.898551247,7.276234852,3.43e-13,6.12e-11
"Ccl8",177.1777214,2.086366324,0.287711542,7.251590633,4.12e-13,7.27e-11
"Trank1",285.7488832,1.701434458,0.235175203,7.234752794,4.66e-13,8.16e-11
"Gm42427",2153.05852,2.502534133,0.346071278,7.231267918,4.79e-13,8.29e-11
"Psrc1",74.43519238,2.097475249,0.291942947,7.184538176,6.74e-13,1.16e-10
"Hs3st3a1",205.367386,2.144718005,0.298767243,7.178558081,7.05e-13,1.2e-10
"Itgax",772.9279179,1.94283367,0.270848075,7.173149264,7.33e-13,1.23e-10
"Tmem100",803.6617271,2.001434385,0.27945278,7.161977009,7.95e-13,1.33e-10
"Ephb3",379.2407614,1.995851252,0.278865738,7.157032863,8.24e-13,1.36e-10
"Greb1",368.8091279,-2.148100665,0.300665813,-7.144479268,9.03e-13,1.48e-10
"Gm2974",26.8371325,6.106785029,0.857272351,7.123506344,1.05e-12,1.71e-10
"Kcna2",171.2593297,-2.030634868,0.285359077,-7.116068953,1.11e-12,1.79e-10
"Gpr176",44.05435404,2.744782701,0.386584534,7.100084089,1.25e-12,1.99e-10
"AA467197",54.58314745,3.690871316,0.521352764,7.079412586,1.45e-12,2.29e-10
"Ankrd29",115.185866,1.781291707,0.25200373,7.068513258,1.57e-12,2.46e-10
"Epha1",795.3851536,1.544394801,0.219104505,7.048667487,1.81e-12,2.8e-10
"4930481A15Rik",69.59188185,-3.260059069,0.46255281,-7.047971597,1.82e-12,2.8e-10
"Tgfbi",2968.58144,2.10998003,0.299722188,7.0397859,1.93e-12,2.95e-10
"4930452B06Rik",169.6546435,-1.710617032,0.243168237,-7.0347059,2e-12,3.03e-10
"Ctsb",23401.29185,1.145081822,0.162901468,7.02929099,2.08e-12,3.12e-10
"Cp",4280.428955,1.208888751,0.172226321,7.019186995,2.23e-12,3.33e-10
"Ar",510.8673367,-1.143466518,0.164815663,-6.937851021,3.98e-12,5.9e-10
"Il1f9",57.00465596,7.559343585,1.09146659,6.925858888,4.33e-12,6.37e-10
"Tmprss2",3269.578357,1.216177853,0.175812509,6.917470551,4.6e-12,6.7e-10
"Ccn5",152.4093844,2.709448521,0.392317844,6.906258688,4.98e-12,7.14e-10
"AU021092",5572.316543,1.319903011,0.19109253,6.907140797,4.95e-12,7.14e-10
"H2-D1",13982.06571,0.889210391,0.128962582,6.895103832,5.38e-12,7.66e-10
"Sla",780.3538423,1.834087445,0.266250755,6.888571812,5.64e-12,7.96e-10
"Ptprn2",83.12730543,-3.120721427,0.453606869,-6.879793136,5.99e-12,8.4e-10
"Pctp",498.9343288,1.026686692,0.149493013,6.867790467,6.52e-12,9.07e-10
"Gm266",54.92416388,4.222667179,0.616048259,6.854442197,7.16e-12,9.8e-10
"St3gal1",1719.964107,1.484093079,0.216544849,6.853513645,7.21e-12,9.8e-10
"Tgm3",1362.769442,9.195128373,1.341433466,6.854703275,7.15e-12,9.8e-10
"Serpinb10",61.08589624,4.054719981,0.59371546,6.829399359,8.53e-12,1.15e-09
"Ptgdr",97.76723911,5.011145139,0.736494998,6.804045046,1.02e-11,1.36e-09
"2610042L04Rik",22.19125257,6.59523579,0.97160557,6.787976516,1.14e-11,1.51e-09
"Trarg1",307.0388819,-1.603462704,0.236281771,-6.786231116,1.15e-11,1.52e-09
"Il7r",203.9406679,1.731979921,0.256357991,6.756098819,1.42e-11,1.85e-09
"Emb",2556.600159,0.714792789,0.105808194,6.755552313,1.42e-11,1.85e-09
"Tcerg1l",29.21992216,-3.32897044,0.493129382,-6.750703902,1.47e-11,1.9e-09
"Timp1",134.284623,2.458945481,0.364372911,6.748431084,1.49e-11,1.92e-09
"Cytip",262.5002997,1.588005936,0.235398935,6.746020049,1.52e-11,1.94e-09
"Stra6l",23.35237557,3.859405302,0.574626793,6.716368521,1.86e-11,2.36e-09
"Gm3468",49.23068993,2.708114439,0.404573314,6.693754492,2.18e-11,2.74e-09
"Cdkn1a",1696.661955,1.192747102,0.178611474,6.677886227,2.42e-11,3.03e-09
"Cpxm2",760.9823802,1.191539202,0.178886668,6.66086084,2.72e-11,3.38e-09
"Pak3",302.1845661,2.101529524,0.316107503,6.648148194,2.97e-11,3.66e-09
"Plac8",288.501862,1.333148994,0.200955766,6.634042017,3.27e-11,4e-09
"Lama2",782.624472,-0.968264852,0.145983128,-6.632717514,3.3e-11,4.01e-09
"Krt8",8738.71883,1.321851884,0.200044501,6.607789148,3.9e-11,4.71e-09
"Man1c1",600.68964,-0.78489869,0.11901524,-6.594942701,4.25e-11,5.11e-09
"Lor",1321.230624,9.167122571,1.391265485,6.5890534,4.43e-11,5.28e-09
"Mdga1",206.3293897,-1.427706937,0.216737035,-6.587277246,4.48e-11,5.31e-09
"Resp18",127.2259026,-3.150394831,0.479211439,-6.574122763,4.89e-11,5.76e-09
"Hexa",4981.740374,1.072752091,0.163582115,6.5578813,5.46e-11,6.38e-09
"Syt7",190.5767961,-2.09477133,0.320259552,-6.540855115,6.12e-11,7.11e-09
"Lhx2",39.21160811,4.79097742,0.735399142,6.514798763,7.28e-11,8.39e-09
"Cd300lf",34.66081434,3.476082283,0.533621011,6.514140586,7.31e-11,8.39e-09
"Cd84",245.9404608,1.70115062,0.261544791,6.504242016,7.81e-11,8.91e-09
"Slc15a3",173.57588,1.623210902,0.249805819,6.497890682,8.15e-11,9.23e-09
"2300002M23Rik",181.1388861,7.06583837,1.088546441,6.491076637,8.52e-11,9.6e-09
"Mki67",236.4360905,1.685797168,0.259759594,6.489836019,8.59e-11,9.61e-09
"Scn5a",111.550264,2.844113741,0.438293498,6.489062135,8.64e-11,9.61e-09
"Cd300lb",68.44907578,1.735511664,0.267901509,6.478170545,9.28e-11,1.03e-08
"Gm8206",28.15468885,4.45605276,0.68822264,6.474725617,9.5e-11,1.04e-08
"Disp2",47.50168048,-2.308454837,0.357811113,-6.451601853,1.11e-10,1.21e-08
"Tyrobp",506.5513837,1.588844179,0.246679862,6.440915622,1.19e-10,1.29e-08
"Gm3248",29.55647336,3.474879463,0.539609478,6.439619024,1.2e-10,1.29e-08
"Gm49542",31.55295837,-2.987954746,0.465900361,-6.413291334,1.42e-10,1.53e-08
"Krtdap",1108.76816,10.26847736,1.604038738,6.401639261,1.54e-10,1.64e-08
"Mgat5b",20.95516674,-3.995253393,0.624610492,-6.396391744,1.59e-10,1.69e-08
"Crocc",284.9081426,-1.483696196,0.232061386,-6.393550536,1.62e-10,1.71e-08
"Pck1",2029.306681,-2.036980338,0.31892097,-6.387100658,1.69e-10,1.77e-08
"Ccl3",50.23910058,3.797504622,0.594642483,6.386197981,1.7e-10,1.77e-08
"Hlf",255.7148012,-1.533572612,0.240569173,-6.374767765,1.83e-10,1.9e-08
"Gm3739",27.58700848,3.484755455,0.547163891,6.368759908,1.91e-10,1.97e-08
"Itgb2",767.6850871,1.691870133,0.266110141,6.357781501,2.05e-10,2.1e-08
"Insrr",100.4248338,-3.212090376,0.505413435,-6.355371964,2.08e-10,2.12e-08
"Ccl9",734.0981784,1.897348416,0.298706791,6.351875733,2.13e-10,2.16e-08
"Fam171a2",721.5719333,1.093162884,0.172322086,6.343718964,2.24e-10,2.26e-08
"Cacnb2",75.13711551,1.625970373,0.256444441,6.340439144,2.29e-10,2.3e-08
"Cckar",46.77328174,-4.049992769,0.639884834,-6.329252634,2.46e-10,2.46e-08
"Lsr",1519.45474,0.894358493,0.141537704,6.318870987,2.63e-10,2.62e-08
"Fam184a",123.4876159,-2.106220608,0.333546966,-6.314614798,2.71e-10,2.67e-08
"Vmp1",2608.313207,0.795458113,0.126412712,6.29254844,3.12e-10,3.03e-08
"Ctss",2918.684726,1.538923401,0.244502392,6.294103666,3.09e-10,3.03e-08
"Gm42047",1207.356137,1.568916953,0.24929811,6.293336735,3.11e-10,3.03e-08
"Ascl1",114.8365626,-2.911000907,0.463270747,-6.283584554,3.31e-10,3.2e-08
"Amigo1",1053.657482,-0.676789166,0.10776798,-6.280057993,3.38e-10,3.25e-08
"Syk",400.4014944,1.014730836,0.161972608,6.26482989,3.73e-10,3.57e-08
"Tubb6",747.9468125,1.471775472,0.235067163,6.261084929,3.82e-10,3.64e-08
"Fezf2",80.09260376,4.125426044,0.659495118,6.255430753,3.96e-10,3.75e-08
"Gm15987",20.83184579,3.348149138,0.53630535,6.242990372,4.29e-10,4.04e-08
"Capg",2450.003155,1.288126512,0.206550048,6.236389304,4.48e-10,4.2e-08
"Slc6a4",45.06488558,3.538602445,0.568215324,6.227573062,4.74e-10,4.42e-08
"Sinhcaf",182.8232172,1.274136003,0.205236138,6.208146443,5.36e-10,4.97e-08
"Cdca7l",1505.84832,1.376314269,0.221834802,6.204230618,5.5e-10,5.07e-08
"Anxa2",8539.177746,1.195232028,0.192748959,6.200977881,5.61e-10,5.15e-08
"Ect2l",22.61455332,-3.728783375,0.601531124,-6.198820349,5.69e-10,5.2e-08
"Ccr1",79.80711404,2.387850082,0.38589545,6.187816109,6.1e-10,5.55e-08
"Gm5796",19.23869664,6.014818654,0.97284241,6.182726607,6.3e-10,5.7e-08
"Srgn",630.3287043,0.862298201,0.139709302,6.172088675,6.74e-10,6.07e-08
"Sema3a",133.1952359,2.31565768,0.376905169,6.143873497,8.05e-10,7.21e-08
"S100a6",2074.298551,1.53376389,0.250222088,6.129610303,8.81e-10,7.85e-08
"Plat",583.0996793,1.372316386,0.223963936,6.127398944,8.93e-10,7.92e-08
"Plb1",125.4300278,1.871207742,0.306648067,6.102134485,1.05e-09,9.24e-08
"Myo1g",226.780509,1.250199677,0.205006506,6.098341477,1.07e-09,9.42e-08
"Pnoc",78.3220051,-3.605782905,0.592513942,-6.085566342,1.16e-09,1.02e-07
"Sfn",1134.620633,1.801940839,0.296155146,6.084448861,1.17e-09,1.02e-07
"Gm3411",19.42501857,4.735635013,0.779270601,6.077009714,1.22e-09,1.06e-07
"Krt18",3498.807614,1.155600592,0.190215713,6.075211011,1.24e-09,1.07e-07
"Hoxb5",63.57029183,1.962444534,0.324353333,6.050329485,1.45e-09,1.23e-07
"Pcsk1n",58.89800017,-2.64997153,0.437960809,-6.050704714,1.44e-09,1.23e-07
"Ifi44",181.2140318,1.511839769,0.250038834,6.046419839,1.48e-09,1.26e-07
"Trim67",61.3477991,-2.578415682,0.42684169,-6.040683799,1.53e-09,1.3e-07
"Hddc3",262.9263226,0.944853235,0.156775129,6.026805657,1.67e-09,1.41e-07
"Tnfsf8",23.5035975,2.74162305,0.456141225,6.010469785,1.85e-09,1.55e-07
"Slpi",964.2751332,8.389454951,1.396712193,6.006573861,1.89e-09,1.58e-07
"Gm29260",89.59653667,1.603328164,0.267184894,6.000818919,1.96e-09,1.63e-07
"C3ar1",312.5948024,1.304900356,0.217531287,5.998678976,1.99e-09,1.65e-07
"Osgin2",431.2673869,1.273179995,0.212281995,5.997588224,2e-09,1.65e-07
"Coro1c",1649.600654,0.849530607,0.142095157,5.978603548,2.25e-09,1.84e-07
"Grik3",34.6539546,-2.622955608,0.439641769,-5.966120134,2.43e-09,1.98e-07
"Rpl41",4267.72706,0.905772471,0.15186709,5.964244589,2.46e-09,2e-07
"Tnfsf11",49.50887243,2.887969281,0.484687123,5.958419655,2.55e-09,2.06e-07
"Rbp7",111.4455203,1.823543586,0.306142703,5.956514946,2.58e-09,2.07e-07
"Dner",85.36584787,-3.318296626,0.557088928,-5.95649359,2.58e-09,2.07e-07
"Aqp6",114.9941483,-1.64876224,0.276976943,-5.952705742,2.64e-09,2.11e-07
"Tagln2",6800.557029,0.936643565,0.157392878,5.950990791,2.67e-09,2.12e-07
"Cd24a",42275.18291,0.702797435,0.118242901,5.94367553,2.79e-09,2.21e-07
"Map6d1",28.27975111,2.78856185,0.46929925,5.941969543,2.82e-09,2.22e-07
"Tgtp1",1147.256275,1.359170535,0.228950506,5.936525579,2.91e-09,2.28e-07
"Ptgs2",87.76865067,2.599283928,0.438580662,5.926581253,3.09e-09,2.42e-07
"Olfm1",359.5306378,1.134029614,0.191797365,5.912644388,3.37e-09,2.62e-07
"Lgi3",232.7510934,-1.568450928,0.265820032,-5.900424123,3.63e-09,2.81e-07
"Syt9",62.3578502,-1.865068836,0.316230903,-5.897807004,3.68e-09,2.84e-07
"Tlr13",114.9617841,1.50109321,0.254562312,5.896761372,3.71e-09,2.85e-07
"Asprv1",1866.913864,8.800117724,1.493032365,5.894123885,3.77e-09,2.88e-07
"Ceacam19",216.2618016,1.532613998,0.260112872,5.89211132,3.81e-09,2.91e-07
"Itga4",1036.834031,1.122350546,0.191020267,5.875557422,4.21e-09,3.2e-07
"Klrg2",185.6264451,1.747849112,0.297901502,5.867204771,4.43e-09,3.35e-07
"Abcc8",56.55006381,-2.484976906,0.424415487,-5.855057086,4.77e-09,3.59e-07
"Scg2",2405.193993,-3.271456276,0.559701303,-5.845003854,5.07e-09,3.8e-07
"Dapl1",112.6620706,2.965742762,0.507616899,5.842482333,5.14e-09,3.82e-07
"B3gnt7",120.4206941,2.632207612,0.450480171,5.843115368,5.12e-09,3.82e-07
"Celf3",53.36668726,-2.267715592,0.388209717,-5.841470449,5.17e-09,3.83e-07
"Krt78",666.1525097,10.14257814,1.737777906,5.836521518,5.33e-09,3.93e-07
"Bsg",14960.82277,0.812268143,0.139238911,5.833628969,5.42e-09,3.97e-07
"Mpeg1",1985.075889,1.034968594,0.177408503,5.833816176,5.42e-09,3.97e-07
"Plaur",131.5383182,2.001956323,0.343361454,5.830463205,5.53e-09,4.02e-07
"D630045J12Rik",348.3487016,-1.792280517,0.307413548,-5.830193655,5.54e-09,4.02e-07
"Gcnt4",30.29319758,2.967581001,0.511108522,5.806166149,6.39e-09,4.62e-07
"Gm2897",38.53490357,2.70249395,0.466891938,5.78826433,7.11e-09,5.12e-07
"Krt19",3255.953818,1.31949434,0.228142094,5.783651389,7.31e-09,5.24e-07
"S100g",38.79046102,4.150821206,0.717969705,5.781331961,7.41e-09,5.3e-07
"Socs3",327.7132449,1.047058065,0.181338074,5.774066305,7.74e-09,5.51e-07
"Mpzl3",565.7241943,1.01019646,0.1750886,5.769630115,7.94e-09,5.63e-07
"Tgm1",380.3786537,2.100225455,0.364314141,5.764874916,8.17e-09,5.77e-07
"Grem1",316.9843642,2.40629823,0.418857143,5.744913923,9.2e-09,6.47e-07
"Ucp2",4688.429528,1.055638586,0.183897116,5.740375977,9.45e-09,6.62e-07
"Rasgrp3",1051.404005,1.02244007,0.178268507,5.735393691,9.73e-09,6.79e-07
"Gm3667",23.76973581,4.553333595,0.794342163,5.732206857,9.91e-09,6.9e-07
"Abat",282.3240789,-0.895991561,0.156567512,-5.722716998,1.05e-08,7.26e-07
"Ereg",26.31995597,4.733139051,0.827814512,5.717632373,1.08e-08,7.46e-07
"Sv2a",117.5003257,-1.534787377,0.268608297,-5.713849472,1.1e-08,7.6e-07
"Pcsk1",177.6212315,-2.271749416,0.397733823,-5.711733029,1.12e-08,7.66e-07
"Gm3752",13.60079395,6.081004455,1.066364137,5.702559045,1.18e-08,8.06e-07
"Crispld2",651.5922676,-1.096171852,0.192269556,-5.701224241,1.19e-08,8.09e-07
"Crip1",3097.697777,1.226804828,0.215293607,5.69828732,1.21e-08,8.2e-07
"Msr1",148.5875235,2.026895685,0.356951278,5.678353907,1.36e-08,9.15e-07
"Gcnt3",68.99300369,3.316286175,0.584019968,5.678378068,1.36e-08,9.15e-07
"Ctsk",416.1477621,1.351082036,0.238064803,5.675270011,1.38e-08,9.28e-07
"Cd53",377.6547006,1.188471844,0.209575258,5.670859507,1.42e-08,9.45e-07
"Gm2956",13.96241047,6.030217389,1.063293241,5.671264667,1.42e-08,9.45e-07
"Actn1",2761.268167,0.956319254,0.168716508,5.668202039,1.44e-08,9.57e-07
"Napsa",5092.898401,1.479379677,0.261987022,5.646767027,1.63e-08,1.08e-06
"Iffo2",555.5704099,1.008815415,0.179119092,5.632093159,1.78e-08,1.17e-06
"Ly6i",51.31611594,4.840591249,0.860407611,5.625927978,1.85e-08,1.21e-06
"Ism2",75.02488781,-1.951906818,0.347354072,-5.619357816,1.92e-08,1.25e-06
"Tbc1d2",287.5441222,1.36512872,0.243109543,5.615282325,1.96e-08,1.28e-06
"Pheta1",605.1463835,0.937045806,0.166926764,5.613514474,1.98e-08,1.29e-06
"Mxra7",481.9723996,0.721029446,0.128462316,5.612770111,1.99e-08,1.29e-06
"Gjb4",243.5558782,1.543173598,0.275051469,5.610490294,2.02e-08,1.3e-06
"Glb1l2",511.9643217,-1.27832883,0.228036115,-5.605817429,2.07e-08,1.33e-06
"Prss33",13.9979904,6.507302656,1.163108449,5.594751428,2.21e-08,1.41e-06
"Ear2",118.6438269,1.841646369,0.329238351,5.593656878,2.22e-08,1.42e-06
"Racgap1",106.2381364,1.579753882,0.282977107,5.582620799,2.37e-08,1.51e-06
"Nptx1",3912.292271,1.59561389,0.285905837,5.580907019,2.39e-08,1.52e-06
"Psap",34882.31825,0.839731564,0.150773593,5.56948697,2.55e-08,1.61e-06
"Lbp",1045.871713,1.286891445,0.231442348,5.56031105,2.69e-08,1.69e-06
"B4galt6",435.78174,1.35503281,0.243748322,5.559147245,2.71e-08,1.7e-06
"Cldn3",2542.300867,0.823854854,0.148249373,5.557223177,2.74e-08,1.71e-06
"Invs",856.3360401,1.55467029,0.279975518,5.552879408,2.81e-08,1.75e-06
"Apoe",11866.30691,1.071907041,0.193065966,5.552024864,2.82e-08,1.75e-06
"Slc5a8",1180.571804,-1.182457192,0.213220261,-5.54570747,2.93e-08,1.81e-06
"Olr1",33.4756933,2.897368982,0.524279715,5.526380092,3.27e-08,2.01e-06
"Prelid2",88.88938359,1.548839059,0.280400526,5.523666736,3.32e-08,2.04e-06
"Tmem40",130.9285716,2.204218965,0.400150547,5.508474195,3.62e-08,2.22e-06
"Top2a",155.2147238,1.595438429,0.289880995,5.503770361,3.72e-08,2.27e-06
"Fam178b",111.7022796,1.277505822,0.232238347,5.50083928,3.78e-08,2.3e-06
"Lgmn",2317.776307,0.724394794,0.132044955,5.485971002,4.11e-08,2.49e-06
"Calca",12365.98395,-3.156850901,0.575472835,-5.485664503,4.12e-08,2.49e-06
"Lad1",460.0236612,1.886346506,0.343902491,5.485120215,4.13e-08,2.49e-06
"Tmprss13",525.1169789,1.147793937,0.209345546,5.482772196,4.19e-08,2.51e-06
"Cpm",333.9976137,2.019679404,0.368488431,5.480984564,4.23e-08,2.52e-06
